Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi Q5 (TDI),Audi,13/06/2024,"€19,473.00",2015,"49,868",SUV,Automatic,Diesel,"Silver Audi Q52.0 TDI [190] Quattro S Line Plus 5dr S Tronic [Black Styling Pack, Parking System Plus, Nappa Leather, Cruise Control, Xenon Headlights, 20"" Alloys,",Dublin
Audi A3 (S line),Audi,2024-06-14,"€15,088.00",2017,"59,069",Hatchback,Automatic,Diesel,Red Audi A32.0 TDI S line Hatchback 3dr Diesel S Tronic Auto 6Spd Euro 6 (s/s) (150 ps)3 previous owners,Cork
Audi TT (S line),Audi,14/06/2024,"€ 18,307",2015,"43,774",Coupe,Automatic,Petrol,Blue Audi TT2.0 TFSI QUATTRO S LINE 2d 227 BHP2 previous owners,Dublin
Audi A7 (TDI V6),Audi,15/06/2024,"€19,997.00",2016,47410,Hatchback,Automatic,Diesel,Blue Audi A73L S line TDI V6 5dr,Limerick
Audi A5 (TDI V6),Audi,15/06/2024,"€14,336.00",2015,"62,669",Hatchback,Automatic,Diesel,Audi A53.0 SPORTBACK TDI S LINE 5d 204 BHP,Cavan
Audi A3 (SE Technik),Audi,17/06/2024,"€17,417.00",2018,"27,936",Hatchback,Automatic,Diesel,Audi A31.6 TDI 116 SE Technik 5dr S Tronic,Tipperary
Audi Q3 (Black Edition),Audi,17/06/2024,"€23,451.00",2018,"34,291",SUV,Automatic,Diesel,Black Audi Q32.0 TDI Black Edition S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Dublin
Audi A1 (TFSI),Audi,17/06/2024,"€9,153.00",2014,"47,782",Hatchback,Manual,Petrol,Black Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr2 previous owners,Louth
Audi A1 (Sport),Audi,2024-06-19,"€ 9,263",2018,"20,028",Hatchback,Manual,Petrol,Blue Audi A11.4 TFSI Sport Sportback Euro 6 (s/s) 5dr (Nav)3 previous owners,Dublin
Audi A1 (S line),Audi,20/06/2024,"€14,145.00",2015,"44,994",Hatchback,Automatic,Petrol,Blue Audi A1S line 1.4 TFSI 150 PS S tronic 3dr,Dublin
